dataset,iters,norm,ndcg
HP2003,110,query-level normalization,0.72478
HP2003,110,global normalization,0.69058
TD2003,110,query-level normalization,0.28304
TD2003,110,global normalization,0.26218
NP2003,110,query-level normalization,0.16164
NP2003,110,global normalization,0.09276
NP2004,112,query-level normalization,0.1623
NP2004,112,global normalization,0.20618
HP2004,112,query-level normalization,0.4804
HP2004,112,global normalization,0.32056
OHSUMED,112,query-level normalization,0.44172
OHSUMED,112,global normalization,0.44266
TD2004,112,query-level normalization,0.26352
TD2004,112,global normalization,0.23284
HP2003,112,query-level normalization,0.68886
HP2003,112,global normalization,0.671
TD2003,112,query-level normalization,0.31914
TD2003,112,global normalization,0.2861
NP2003,112,query-level normalization,0.21178
NP2003,112,global normalization,0.1199
NP2004,114,query-level normalization,0.1166
NP2004,114,global normalization,0.16942
HP2004,114,query-level normalization,0.01334
HP2004,114,global normalization,0.11142
OHSUMED,114,query-level normalization,0.43908
OHSUMED,114,global normalization,0.43772
TD2004,114,query-level normalization,0.21828
TD2004,114,global normalization,0.2273
HP2003,114,query-level normalization,0.74386
HP2003,114,global normalization,0.7081
TD2003,114,query-level normalization,0.25634
TD2003,114,global normalization,0.24518
NP2003,114,query-level normalization,0.11488
NP2003,114,global normalization,0.12414
NP2004,116,query-level normalization,0.13874
NP2004,116,global normalization,0.10224
HP2004,116,query-level normalization,0.02476
HP2004,116,global normalization,0.24326
OHSUMED,116,query-level normalization,0.43408
OHSUMED,116,global normalization,0.43202
TD2004,116,query-level normalization,0.24262
TD2004,116,global normalization,0.21672
HP2003,116,query-level normalization,0.67294
HP2003,116,global normalization,0.73502
TD2003,116,query-level normalization,0.27806
TD2003,116,global normalization,0.27358
NP2003,116,query-level normalization,0.11298
NP2003,116,global normalization,0.09786
NP2004,118,query-level normalization,0.18434
NP2004,118,global normalization,0.25718
HP2004,118,query-level normalization,0.07632
HP2004,118,global normalization,0.13598
OHSUMED,118,query-level normalization,0.44452
OHSUMED,118,global normalization,0.4354
TD2004,118,query-level normalization,0.28598
TD2004,118,global normalization,0.22766
HP2003,118,query-level normalization,0.74566
HP2003,118,global normalization,0.73652
TD2003,118,query-level normalization,0.24752
TD2003,118,global normalization,0.27544
NP2003,118,query-level normalization,0.11614
NP2003,118,global normalization,0.23958
NP2004,120,query-level normalization,0.03902
NP2004,120,global normalization,0.14134
HP2004,120,query-level normalization,0.39256
HP2004,120,global normalization,0.2117
OHSUMED,120,query-level normalization,0.438
OHSUMED,120,global normalization,0.43946
TD2004,120,query-level normalization,0.22338
TD2004,120,global normalization,0.23696
HP2003,120,query-level normalization,0.71422
HP2003,120,global normalization,0.73794
TD2003,120,query-level normalization,0.27052
TD2003,120,global normalization,0.26066
NP2003,120,query-level normalization,0.0921
NP2003,120,global normalization,0.19392
NP2004,122,query-level normalization,0.12176
NP2004,122,global normalization,0.07912
HP2004,122,query-level normalization,0.16094
HP2004,122,global normalization,0.41344
OHSUMED,122,query-level normalization,0.43874
OHSUMED,122,global normalization,0.4467
TD2004,122,query-level normalization,0.2311
TD2004,122,global normalization,0.22392
HP2003,122,query-level normalization,0.71454
HP2003,122,global normalization,0.71264
TD2003,122,query-level normalization,0.28954
TD2003,122,global normalization,0.299
NP2003,122,query-level normalization,0.21494
NP2003,122,global normalization,0.1293
NP2004,124,query-level normalization,0.11616
NP2004,124,global normalization,0.1287
HP2004,124,query-level normalization,0.3911
HP2004,124,global normalization,0.26236
OHSUMED,124,query-level normalization,0.43862
OHSUMED,124,global normalization,0.44308
TD2004,124,query-level normalization,0.18664
TD2004,124,global normalization,0.30138
HP2003,124,query-level normalization,0.7359
HP2003,124,global normalization,0.74956
TD2003,124,query-level normalization,0.2447
TD2003,124,global normalization,0.32054
NP2003,124,query-level normalization,0.1427
NP2003,124,global normalization,0.12294
NP2004,126,query-level normalization,0.17456
NP2004,126,global normalization,0.18312
HP2004,126,query-level normalization,0.19802
HP2004,126,global normalization,0.05486
OHSUMED,126,query-level normalization,0.43926
OHSUMED,126,global normalization,0.4358
TD2004,126,query-level normalization,0.27156
TD2004,126,global normalization,0.27032
HP2003,126,query-level normalization,0.70212
HP2003,126,global normalization,0.70778
TD2003,126,query-level normalization,0.263
TD2003,126,global normalization,0.28762
NP2003,126,query-level normalization,0.22732
NP2003,126,global normalization,0.21436
NP2004,128,query-level normalization,0.1857
NP2004,128,global normalization,0.15282
HP2004,128,query-level normalization,0.4632
HP2004,128,global normalization,0.08896
OHSUMED,128,query-level normalization,0.4404
OHSUMED,128,global normalization,0.44278
TD2004,128,query-level normalization,0.2543
TD2004,128,global normalization,0.28016
HP2003,128,query-level normalization,0.69778
HP2003,128,global normalization,0.67196
TD2003,128,query-level normalization,0.31172
TD2003,128,global normalization,0.2851
NP2003,128,query-level normalization,0.12528
NP2003,128,global normalization,0.2298
NP2004,130,query-level normalization,0.08684
NP2004,130,global normalization,0.19108
HP2004,130,query-level normalization,0.01334
HP2004,130,global normalization,0.35472
OHSUMED,130,query-level normalization,0.44658
OHSUMED,130,global normalization,0.44512
TD2004,130,query-level normalization,0.25102
TD2004,130,global normalization,0.2192
HP2003,130,query-level normalization,0.7033
HP2003,130,global normalization,0.67528
TD2003,130,query-level normalization,0.29256
TD2003,130,global normalization,0.27156
NP2003,130,query-level normalization,0.06148
NP2003,130,global normalization,0.20716
NP2004,132,query-level normalization,0.15042
NP2004,132,global normalization,0.16008
HP2004,132,query-level normalization,0.19298
HP2004,132,global normalization,0.02378
OHSUMED,132,query-level normalization,0.43576
OHSUMED,132,global normalization,0.43628
TD2004,132,query-level normalization,0.23466
TD2004,132,global normalization,0.20928
HP2003,132,query-level normalization,0.71994
HP2003,132,global normalization,0.7462
TD2003,132,query-level normalization,0.27982
TD2003,132,global normalization,0.27598
NP2003,132,query-level normalization,0.06554
NP2003,132,global normalization,0.13726
NP2004,134,query-level normalization,0.1523
NP2004,134,global normalization,0.17896
HP2004,134,query-level normalization,0.56436
HP2004,134,global normalization,0.4464
OHSUMED,134,query-level normalization,0.4437
OHSUMED,134,global normalization,0.43808
TD2004,134,query-level normalization,0.22714
TD2004,134,global normalization,0.2671
HP2003,134,query-level normalization,0.68616
HP2003,134,global normalization,0.74394
TD2003,134,query-level normalization,0.29428
TD2003,134,global normalization,0.30482
NP2003,134,query-level normalization,0.1821
NP2003,134,global normalization,0.2016
NP2004,136,query-level normalization,0.15164
NP2004,136,global normalization,0.27038
HP2004,136,query-level normalization,0.2474
HP2004,136,global normalization,0.16994
OHSUMED,136,query-level normalization,0.43732
OHSUMED,136,global normalization,0.44148
TD2004,136,query-level normalization,0.25672
TD2004,136,global normalization,0.2485
HP2003,136,query-level normalization,0.6993
HP2003,136,global normalization,0.74826
TD2003,136,query-level normalization,0.22418
TD2003,136,global normalization,0.30704
NP2003,136,query-level normalization,0.09818
NP2003,136,global normalization,0.1416
NP2004,138,query-level normalization,0.19284
NP2004,138,global normalization,0.14174
HP2004,138,query-level normalization,0.519
HP2004,138,global normalization,0.11224
OHSUMED,138,query-level normalization,0.43792
OHSUMED,138,global normalization,0.4408
TD2004,138,query-level normalization,0.28956
TD2004,138,global normalization,0.2559
HP2003,138,query-level normalization,0.73638
HP2003,138,global normalization,0.6971
TD2003,138,query-level normalization,0.24786
TD2003,138,global normalization,0.26386
NP2003,138,query-level normalization,0.23076
NP2003,138,global normalization,0.2945
NP2004,140,query-level normalization,0.14348
NP2004,140,global normalization,0.12878
HP2004,140,query-level normalization,0.2354
HP2004,140,global normalization,0
OHSUMED,140,query-level normalization,0.43782
OHSUMED,140,global normalization,0.44028
TD2004,140,query-level normalization,0.2616
TD2004,140,global normalization,0.2645
HP2003,140,query-level normalization,0.70504
HP2003,140,global normalization,0.7097
TD2003,140,query-level normalization,0.2928
TD2003,140,global normalization,0.29674
NP2003,140,query-level normalization,0.17718
NP2003,140,global normalization,0.17338
NP2004,142,query-level normalization,0.17594
NP2004,142,global normalization,0.17112
HP2004,142,query-level normalization,0.36272
HP2004,142,global normalization,0.4132
OHSUMED,142,query-level normalization,0.44194
OHSUMED,142,global normalization,0.4398
TD2004,142,query-level normalization,0.2599
TD2004,142,global normalization,0.24174
HP2003,142,query-level normalization,0.6724
HP2003,142,global normalization,0.64958
TD2003,142,query-level normalization,0.23362
TD2003,142,global normalization,0.28354
NP2003,142,query-level normalization,0.1718
NP2003,142,global normalization,0.1148
NP2004,144,query-level normalization,0.15234
NP2004,144,global normalization,0.18586
HP2004,144,query-level normalization,0.42782
HP2004,144,global normalization,0.3225
OHSUMED,144,query-level normalization,0.44036
OHSUMED,144,global normalization,0.43772
TD2004,144,query-level normalization,0.19166
TD2004,144,global normalization,0.23396
HP2003,144,query-level normalization,0.72324
HP2003,144,global normalization,0.73866
TD2003,144,query-level normalization,0.30918
TD2003,144,global normalization,0.28268
NP2003,144,query-level normalization,0.11744
NP2003,144,global normalization,0.15318
NP2004,146,query-level normalization,0.13258
NP2004,146,global normalization,0.10644
HP2004,146,query-level normalization,0.2134
HP2004,146,global normalization,0.52814
OHSUMED,146,query-level normalization,0.4407
OHSUMED,146,global normalization,0.43848
TD2004,146,query-level normalization,0.21718
TD2004,146,global normalization,0.29096
HP2003,146,query-level normalization,0.70786
HP2003,146,global normalization,0.73782
TD2003,146,query-level normalization,0.3046
TD2003,146,global normalization,0.28632
NP2003,146,query-level normalization,0.15116
NP2003,146,global normalization,0.09672
NP2004,148,query-level normalization,0.20786
NP2004,148,global normalization,0.11034
HP2004,148,query-level normalization,0.58822
HP2004,148,global normalization,0.26642
OHSUMED,148,query-level normalization,0.43952
OHSUMED,148,global normalization,0.4374
TD2004,148,query-level normalization,0.26704
TD2004,148,global normalization,0.2547
HP2003,148,query-level normalization,0.73608
HP2003,148,global normalization,0.71416
TD2003,148,query-level normalization,0.28206
TD2003,148,global normalization,0.2668
NP2003,148,query-level normalization,0.09698
NP2003,148,global normalization,0.13038
NP2004,150,query-level normalization,0.14476
NP2004,150,global normalization,0.21498
HP2004,150,query-level normalization,0.29048
HP2004,150,global normalization,0.14494
OHSUMED,150,query-level normalization,0.43684
OHSUMED,150,global normalization,0.43742
TD2004,150,query-level normalization,0.23616
TD2004,150,global normalization,0.2698
HP2003,150,query-level normalization,0.71612
HP2003,150,global normalization,0.65962
TD2003,150,query-level normalization,0.3006
TD2003,150,global normalization,0.28486
NP2003,150,query-level normalization,0.1722
NP2003,150,global normalization,0.1554
NP2004,152,query-level normalization,0.20698
NP2004,152,global normalization,0.097
HP2004,152,query-level normalization,0.47872
HP2004,152,global normalization,0.3279
OHSUMED,152,query-level normalization,0.43992
OHSUMED,152,global normalization,0.44348
TD2004,152,query-level normalization,0.26852
TD2004,152,global normalization,0.25728
HP2003,152,query-level normalization,0.65818
HP2003,152,global normalization,0.71106
TD2003,152,query-level normalization,0.30068
TD2003,152,global normalization,0.29852
NP2003,152,query-level normalization,0.19864
NP2003,152,global normalization,0.3023
NP2004,154,query-level normalization,0.19578
NP2004,154,global normalization,0.14588
HP2004,154,query-level normalization,0.309
HP2004,154,global normalization,0.32022
OHSUMED,154,query-level normalization,0.43862
OHSUMED,154,global normalization,0.436
TD2004,154,query-level normalization,0.25252
TD2004,154,global normalization,0.25712
HP2003,154,query-level normalization,0.68844
HP2003,154,global normalization,0.66814
TD2003,154,query-level normalization,0.30796
TD2003,154,global normalization,0.28514
NP2003,154,query-level normalization,0.15628
NP2003,154,global normalization,0.19834
NP2004,156,query-level normalization,0.15638
NP2004,156,global normalization,0.12238
HP2004,156,query-level normalization,0.12024
HP2004,156,global normalization,0.14236
OHSUMED,156,query-level normalization,0.4386
OHSUMED,156,global normalization,0.44124
TD2004,156,query-level normalization,0.25564
TD2004,156,global normalization,0.2437
HP2003,156,query-level normalization,0.71938
HP2003,156,global normalization,0.71944
TD2003,156,query-level normalization,0.27346
TD2003,156,global normalization,0.26226
NP2003,156,query-level normalization,0.20718
NP2003,156,global normalization,0.11848
NP2004,158,query-level normalization,0.23228
NP2004,158,global normalization,0.084
HP2004,158,query-level normalization,0.4019
HP2004,158,global normalization,0.36732
OHSUMED,158,query-level normalization,0.44754
OHSUMED,158,global normalization,0.4335
TD2004,158,query-level normalization,0.25832
TD2004,158,global normalization,0.23996
HP2003,158,query-level normalization,0.68098
HP2003,158,global normalization,0.67916
TD2003,158,query-level normalization,0.32046
TD2003,158,global normalization,0.26328
NP2003,158,query-level normalization,0.13012
NP2003,158,global normalization,0.18206
NP2004,160,query-level normalization,0.11726
NP2004,160,global normalization,0.1258
HP2004,160,query-level normalization,0.17188
HP2004,160,global normalization,0.232
OHSUMED,160,query-level normalization,0.44288
OHSUMED,160,global normalization,0.44326
TD2004,160,query-level normalization,0.2757
TD2004,160,global normalization,0.27994
HP2003,160,query-level normalization,0.74316
HP2003,160,global normalization,0.7149
TD2003,160,query-level normalization,0.296
TD2003,160,global normalization,0.29318
NP2003,160,query-level normalization,0.15132
NP2003,160,global normalization,0.18814
NP2004,162,query-level normalization,0.14734
NP2004,162,global normalization,0.17972
HP2004,162,query-level normalization,0.54436
HP2004,162,global normalization,0.1797
OHSUMED,162,query-level normalization,0.43578
OHSUMED,162,global normalization,0.43908
TD2004,162,query-level normalization,0.23344
TD2004,162,global normalization,0.2498
HP2003,162,query-level normalization,0.6958
HP2003,162,global normalization,0.73956
TD2003,162,query-level normalization,0.28062
TD2003,162,global normalization,0.29396
NP2003,162,query-level normalization,0.12572
NP2003,162,global normalization,0.10124
NP2004,164,query-level normalization,0.1851
NP2004,164,global normalization,0.16956
HP2004,164,query-level normalization,0.08228
HP2004,164,global normalization,0.0879
OHSUMED,164,query-level normalization,0.43712
OHSUMED,164,global normalization,0.43962
TD2004,164,query-level normalization,0.24582
TD2004,164,global normalization,0.28856
HP2003,164,query-level normalization,0.725
HP2003,164,global normalization,0.72862
TD2003,164,query-level normalization,0.31632
TD2003,164,global normalization,0.30646
NP2003,164,query-level normalization,0.1541
NP2003,164,global normalization,0.1921
NP2004,166,query-level normalization,0.21996
NP2004,166,global normalization,0.14978
HP2004,166,query-level normalization,0.07306
HP2004,166,global normalization,0.4655
OHSUMED,166,query-level normalization,0.44476
OHSUMED,166,global normalization,0.43542
TD2004,166,query-level normalization,0.27926
TD2004,166,global normalization,0.25098
HP2003,166,query-level normalization,0.68478
HP2003,166,global normalization,0.70392
TD2003,166,query-level normalization,0.3103
TD2003,166,global normalization,0.2275
NP2003,166,query-level normalization,0.12926
NP2003,166,global normalization,0.2359
NP2004,168,query-level normalization,0.12902
NP2004,168,global normalization,0.1471
HP2004,168,query-level normalization,0.14692
HP2004,168,global normalization,0.47422
OHSUMED,168,query-level normalization,0.43764
OHSUMED,168,global normalization,0.44014
TD2004,168,query-level normalization,0.24244
TD2004,168,global normalization,0.24148
HP2003,168,query-level normalization,0.7355
HP2003,168,global normalization,0.70786
TD2003,168,query-level normalization,0.26978
TD2003,168,global normalization,0.29942
NP2003,168,query-level normalization,0.2013
NP2003,168,global normalization,0.17636
NP2004,170,query-level normalization,0.17388
NP2004,170,global normalization,0.17344
HP2004,170,query-level normalization,0.23472
HP2004,170,global normalization,0.1194
OHSUMED,170,query-level normalization,0.44498
OHSUMED,170,global normalization,0.43772
TD2004,170,query-level normalization,0.28842
TD2004,170,global normalization,0.25446
HP2003,170,query-level normalization,0.66746
HP2003,170,global normalization,0.69704
TD2003,170,query-level normalization,0.26808
TD2003,170,global normalization,0.275
NP2003,170,query-level normalization,0.16036
NP2003,170,global normalization,0.19462
NP2004,172,query-level normalization,0.17006
NP2004,172,global normalization,0.21108
HP2004,172,query-level normalization,0.07016
HP2004,172,global normalization,0.40118
OHSUMED,172,query-level normalization,0.43922
OHSUMED,172,global normalization,0.44306
TD2004,172,query-level normalization,0.27616
TD2004,172,global normalization,0.23494
HP2003,172,query-level normalization,0.7274
HP2003,172,global normalization,0.67906
TD2003,172,query-level normalization,0.28204
TD2003,172,global normalization,0.26818
NP2003,172,query-level normalization,0.15276
NP2003,172,global normalization,0.11358
NP2004,174,query-level normalization,0.1576
NP2004,174,global normalization,0.1614
HP2004,174,query-level normalization,0.35834
HP2004,174,global normalization,0.6111
OHSUMED,174,query-level normalization,0.44022
OHSUMED,174,global normalization,0.43524
TD2004,174,query-level normalization,0.25772
TD2004,174,global normalization,0.2533
HP2003,174,query-level normalization,0.71078
HP2003,174,global normalization,0.71018
TD2003,174,query-level normalization,0.27026
TD2003,174,global normalization,0.29004
NP2003,174,query-level normalization,0.21174
NP2003,174,global normalization,0.17578
NP2004,176,query-level normalization,0.1223
NP2004,176,global normalization,0.19952
HP2004,176,query-level normalization,0.29678
HP2004,176,global normalization,0.5413
OHSUMED,176,query-level normalization,0.43728
OHSUMED,176,global normalization,0.43628
TD2004,176,query-level normalization,0.27112
TD2004,176,global normalization,0.24608
HP2003,176,query-level normalization,0.69052
HP2003,176,global normalization,0.6834
TD2003,176,query-level normalization,0.29318
TD2003,176,global normalization,0.3022
NP2003,176,query-level normalization,0.16218
NP2003,176,global normalization,0.14304
NP2004,178,query-level normalization,0.18988
NP2004,178,global normalization,0.218
HP2004,178,query-level normalization,0.3824
HP2004,178,global normalization,0.53982
OHSUMED,178,query-level normalization,0.43542
OHSUMED,178,global normalization,0.4392
TD2004,178,query-level normalization,0.2854
TD2004,178,global normalization,0.24458
HP2003,178,query-level normalization,0.7462
HP2003,178,global normalization,0.71814
TD2003,178,query-level normalization,0.33088
TD2003,178,global normalization,0.26848
NP2003,178,query-level normalization,0.28398
NP2003,178,global normalization,0.218
NP2004,180,query-level normalization,0.13932
NP2004,180,global normalization,0.17614
HP2004,180,query-level normalization,0.56222
HP2004,180,global normalization,0.07474
OHSUMED,180,query-level normalization,0.43122
OHSUMED,180,global normalization,0.43598
TD2004,180,query-level normalization,0.25294
TD2004,180,global normalization,0.2426
HP2003,180,query-level normalization,0.71762
HP2003,180,global normalization,0.72624
TD2003,180,query-level normalization,0.31484
TD2003,180,global normalization,0.2762
NP2003,180,query-level normalization,0.16986
NP2003,180,global normalization,0.14292
NP2004,182,query-level normalization,0.1411
NP2004,182,global normalization,0.1534
HP2004,182,query-level normalization,0.16896
HP2004,182,global normalization,0.11944
OHSUMED,182,query-level normalization,0.44088
OHSUMED,182,global normalization,0.43686
TD2004,182,query-level normalization,0.25352
TD2004,182,global normalization,0.27878
HP2003,182,query-level normalization,0.67976
HP2003,182,global normalization,0.69248
TD2003,182,query-level normalization,0.35372
TD2003,182,global normalization,0.28934
NP2003,182,query-level normalization,0.07452
NP2003,182,global normalization,0.20114
NP2004,184,query-level normalization,0.2145
NP2004,184,global normalization,0.17744
HP2004,184,query-level normalization,0.51082
HP2004,184,global normalization,0.13596
OHSUMED,184,query-level normalization,0.44142
OHSUMED,184,global normalization,0.4239
TD2004,184,query-level normalization,0.26572
TD2004,184,global normalization,0.2133
HP2003,184,query-level normalization,0.73586
HP2003,184,global normalization,0.71944
TD2003,184,query-level normalization,0.31112
TD2003,184,global normalization,0.28384
NP2003,184,query-level normalization,0.2073
NP2003,184,global normalization,0.19764
NP2004,186,query-level normalization,0.15098
NP2004,186,global normalization,0.13556
HP2004,186,query-level normalization,0.08418
HP2004,186,global normalization,0.21984
OHSUMED,186,query-level normalization,0.43992
OHSUMED,186,global normalization,0.4265
TD2004,186,query-level normalization,0.26904
TD2004,186,global normalization,0.24542
HP2003,186,query-level normalization,0.69376
HP2003,186,global normalization,0.72466
TD2003,186,query-level normalization,0.32282
TD2003,186,global normalization,0.31408
NP2003,186,query-level normalization,0.22388
NP2003,186,global normalization,0.16358
NP2004,188,query-level normalization,0.16858
NP2004,188,global normalization,0.121
HP2004,188,query-level normalization,0.22972
HP2004,188,global normalization,0.10762
OHSUMED,188,query-level normalization,0.44364
OHSUMED,188,global normalization,0.43386
TD2004,188,query-level normalization,0.21294
TD2004,188,global normalization,0.26706
HP2003,188,query-level normalization,0.78756
HP2003,188,global normalization,0.77396
TD2003,188,query-level normalization,0.30494
TD2003,188,global normalization,0.3057
NP2003,188,query-level normalization,0.18564
NP2003,188,global normalization,0.20062
NP2004,190,query-level normalization,0.2011
NP2004,190,global normalization,0.08152
HP2004,190,query-level normalization,0.07956
HP2004,190,global normalization,0.11892
OHSUMED,190,query-level normalization,0.43908
OHSUMED,190,global normalization,0.44208
TD2004,190,query-level normalization,0.25638
TD2004,190,global normalization,0.24774
HP2003,190,query-level normalization,0.7214
HP2003,190,global normalization,0.73754
TD2003,190,query-level normalization,0.3202
TD2003,190,global normalization,0.28034
NP2003,190,query-level normalization,0.13782
NP2003,190,global normalization,0.17768
NP2004,192,query-level normalization,0.11664
NP2004,192,global normalization,0.16746
HP2004,192,query-level normalization,0.22354
HP2004,192,global normalization,0.2952
OHSUMED,192,query-level normalization,0.44098
OHSUMED,192,global normalization,0.45396
TD2004,192,query-level normalization,0.27436
TD2004,192,global normalization,0.26132
HP2003,192,query-level normalization,0.68462
HP2003,192,global normalization,0.70766
TD2003,192,query-level normalization,0.29992
TD2003,192,global normalization,0.30976
NP2003,192,query-level normalization,0.15474
NP2003,192,global normalization,0.16808
NP2004,194,query-level normalization,0.11376
NP2004,194,global normalization,0.16936
HP2004,194,query-level normalization,0.2292
HP2004,194,global normalization,0.45048
OHSUMED,194,query-level normalization,0.43318
OHSUMED,194,global normalization,0.44246
TD2004,194,query-level normalization,0.26362
TD2004,194,global normalization,0.28558
HP2003,194,query-level normalization,0.7128
HP2003,194,global normalization,0.69802
TD2003,194,query-level normalization,0.3189
TD2003,194,global normalization,0.29146
NP2003,194,query-level normalization,0.13802
NP2003,194,global normalization,0.211
NP2004,196,query-level normalization,0.14126
NP2004,196,global normalization,0.17648
HP2004,196,query-level normalization,0.35292
HP2004,196,global normalization,0.0572
OHSUMED,196,query-level normalization,0.4393
OHSUMED,196,global normalization,0.43902
TD2004,196,query-level normalization,0.30246
TD2004,196,global normalization,0.30226
HP2003,196,query-level normalization,0.76842
HP2003,196,global normalization,0.71834
TD2003,196,query-level normalization,0.2915
TD2003,196,global normalization,0.30462
NP2003,196,query-level normalization,0.22898
NP2003,196,global normalization,0.2271
NP2004,198,query-level normalization,0.2147
NP2004,198,global normalization,0.16172
HP2004,198,query-level normalization,0.1621
HP2004,198,global normalization,0.53428
OHSUMED,198,query-level normalization,0.44142
OHSUMED,198,global normalization,0.4411
TD2004,198,query-level normalization,0.26588
TD2004,198,global normalization,0.2505
HP2003,198,query-level normalization,0.7355
HP2003,198,global normalization,0.69396
TD2003,198,query-level normalization,0.24672
TD2003,198,global normalization,0.29936
NP2003,198,query-level normalization,0.16474
NP2003,198,global normalization,0.0759
NP2004,200,query-level normalization,0.09782
NP2004,200,global normalization,0.24098
HP2004,200,query-level normalization,0.38374
HP2004,200,global normalization,0.47822
OHSUMED,200,query-level normalization,0.42828
OHSUMED,200,global normalization,0.4344
TD2004,200,query-level normalization,0.2627
TD2004,200,global normalization,0.28998
HP2003,200,query-level normalization,0.74404
HP2003,200,global normalization,0.69598
TD2003,200,query-level normalization,0.29964
TD2003,200,global normalization,0.29402
NP2003,200,query-level normalization,0.19244
NP2003,200,global normalization,0.18864
NP2004,202,query-level normalization,0.19068
NP2004,202,global normalization,0.13614
HP2004,202,query-level normalization,0.20172
HP2004,202,global normalization,0.11572
OHSUMED,202,query-level normalization,0.43722
OHSUMED,202,global normalization,0.42974
TD2004,202,query-level normalization,0.25076
TD2004,202,global normalization,0.27314
HP2003,202,query-level normalization,0.7014
HP2003,202,global normalization,0.66102
TD2003,202,query-level normalization,0.32084
TD2003,202,global normalization,0.25664
NP2003,202,query-level normalization,0.24806
NP2003,202,global normalization,0.2951
NP2004,204,query-level normalization,0.168
NP2004,204,global normalization,0.16602
HP2004,204,query-level normalization,0.52084
HP2004,204,global normalization,0.46038
OHSUMED,204,query-level normalization,0.4416
OHSUMED,204,global normalization,0.44048
TD2004,204,query-level normalization,0.27704
TD2004,204,global normalization,0.29316
HP2003,204,query-level normalization,0.68734
HP2003,204,global normalization,0.70556
TD2003,204,query-level normalization,0.3315
TD2003,204,global normalization,0.28818
NP2003,204,query-level normalization,0.12102
NP2003,204,global normalization,0.25378
NP2004,206,query-level normalization,0.1575
NP2004,206,global normalization,0.17688
HP2004,206,query-level normalization,0.13706
HP2004,206,global normalization,0.14056
OHSUMED,206,query-level normalization,0.44298
OHSUMED,206,global normalization,0.44594
TD2004,206,query-level normalization,0.25108
TD2004,206,global normalization,0.29316
HP2003,206,query-level normalization,0.73662
HP2003,206,global normalization,0.72038
TD2003,206,query-level normalization,0.29584
TD2003,206,global normalization,0.2841
NP2003,206,query-level normalization,0.23634
NP2003,206,global normalization,0.13074
NP2004,208,query-level normalization,0.1416
NP2004,208,global normalization,0.14174
HP2004,208,query-level normalization,0.24258
HP2004,208,global normalization,0.4304
OHSUMED,208,query-level normalization,0.43694
OHSUMED,208,global normalization,0.43268
TD2004,208,query-level normalization,0.22708
TD2004,208,global normalization,0.23764
HP2003,208,query-level normalization,0.67298
HP2003,208,global normalization,0.71048
TD2003,208,query-level normalization,0.3203
TD2003,208,global normalization,0.30292
NP2003,208,query-level normalization,0.12088
NP2003,208,global normalization,0.2079
NP2004,210,query-level normalization,0.2022
NP2004,210,global normalization,0.1198
HP2004,210,query-level normalization,0.28084
HP2004,210,global normalization,0.3064
OHSUMED,210,query-level normalization,0.43996
OHSUMED,210,global normalization,0.44306
TD2004,210,query-level normalization,0.30036
TD2004,210,global normalization,0.2666
HP2003,210,query-level normalization,0.74124
HP2003,210,global normalization,0.71206
TD2003,210,query-level normalization,0.31076
TD2003,210,global normalization,0.28114
NP2003,210,query-level normalization,0.2117
NP2003,210,global normalization,0.13406
NP2004,212,query-level normalization,0.24942
NP2004,212,global normalization,0.08476
HP2004,212,query-level normalization,0.20166
HP2004,212,global normalization,0.48028
OHSUMED,212,query-level normalization,0.4298
OHSUMED,212,global normalization,0.44006
TD2004,212,query-level normalization,0.25262
TD2004,212,global normalization,0.28814
HP2003,212,query-level normalization,0.67778
HP2003,212,global normalization,0.75942
TD2003,212,query-level normalization,0.30572
TD2003,212,global normalization,0.3124
NP2003,212,query-level normalization,0.16258
NP2003,212,global normalization,0.26508
NP2004,214,query-level normalization,0.07046
NP2004,214,global normalization,0.25764
HP2004,214,query-level normalization,0.2553
HP2004,214,global normalization,0.39988
OHSUMED,214,query-level normalization,0.44088
OHSUMED,214,global normalization,0.44214
TD2004,214,query-level normalization,0.25722
TD2004,214,global normalization,0.25876
HP2003,214,query-level normalization,0.73584
HP2003,214,global normalization,0.7242
TD2003,214,query-level normalization,0.29606
TD2003,214,global normalization,0.32106
NP2003,214,query-level normalization,0.15014
NP2003,214,global normalization,0.14184
NP2004,216,query-level normalization,0.16634
NP2004,216,global normalization,0.21284
HP2004,216,query-level normalization,0.32942
HP2004,216,global normalization,0.54934
OHSUMED,216,query-level normalization,0.43486
OHSUMED,216,global normalization,0.42292
TD2004,216,query-level normalization,0.2592
TD2004,216,global normalization,0.2629
HP2003,216,query-level normalization,0.7053
HP2003,216,global normalization,0.69808
TD2003,216,query-level normalization,0.29166
TD2003,216,global normalization,0.28288
NP2003,216,query-level normalization,0.20004
NP2003,216,global normalization,0.2004
NP2004,218,query-level normalization,0.18496
NP2004,218,global normalization,0.12492
HP2004,218,query-level normalization,0.32434
HP2004,218,global normalization,0.21846
OHSUMED,218,query-level normalization,0.43424
OHSUMED,218,global normalization,0.44762
TD2004,218,query-level normalization,0.23254
TD2004,218,global normalization,0.2547
HP2003,218,query-level normalization,0.7081
HP2003,218,global normalization,0.69898
TD2003,218,query-level normalization,0.32484
TD2003,218,global normalization,0.32392
NP2003,218,query-level normalization,0.25914
NP2003,218,global normalization,0.2207
NP2004,220,query-level normalization,0.20212
NP2004,220,global normalization,0.21174
HP2004,220,query-level normalization,0.2745
HP2004,220,global normalization,0.35832
